,Id,Zoomed_Image_Data
0,LIDC-IDRI-0078-1,"[[0.63921569 0.64705882 0.64705882 ... 0.56078431 0.56470588 0.56862745]
 [0.63921569 0.63921569 0.63921569 ... 0.56078431 0.56078431 0.57647059]
 [0.63921569 0.63529412 0.63529412 ... 0.55686275 0.55686275 0.57647059]
 ...
 [0.0627451  0.06666667 0.05490196 ... 0.04705882 0.03921569 0.02745098]
 [0.05098039 0.05098039 0.04313725 ... 0.04705882 0.04313725 0.03921569]
 [0.04313725 0.03529412 0.03529412 ... 0.04705882 0.05490196 0.04705882]]"
1,LIDC-IDRI-0078-2,"[[0.96470588 0.98431373 0.97254902 ... 0.08235294 0.05882353 0.05490196]
 [0.97647059 0.98431373 0.98039216 ... 0.09803922 0.09411765 0.08627451]
 [0.99607843 0.99607843 0.98039216 ... 0.11764706 0.12156863 0.1254902 ]
 ...
 [0.8627451  0.84313725 0.84313725 ... 0.1372549  0.15686275 0.18039216]
 [0.88627451 0.86666667 0.85490196 ... 0.14901961 0.15686275 0.17254902]
 [0.92941176 0.89803922 0.85490196 ... 0.20392157 0.20392157 0.18823529]]"
2,LIDC-IDRI-0078-3,"[[0.69019608 0.67843137 0.68235294 ... 0.6627451  0.66666667 0.6627451 ]
 [0.7372549  0.71764706 0.70196078 ... 0.6627451  0.6627451  0.66666667]
 [0.76078431 0.74901961 0.76078431 ... 0.65490196 0.66666667 0.65882353]
 ...
 [0.0627451  0.06666667 0.07058824 ... 0.12156863 0.09803922 0.09019608]
 [0.0745098  0.08627451 0.08627451 ... 0.05490196 0.03921569 0.04313725]
 [0.07058824 0.09803922 0.11372549 ... 0.00784314 0.00392157 0.00392157]]"
3,LIDC-IDRI-0078-4,"[[0.76078431 0.74901961 0.76078431 ... 0.65490196 0.66666667 0.65882353]
 [0.7372549  0.7372549  0.74901961 ... 0.65882353 0.6745098  0.6745098 ]
 [0.72941176 0.7254902  0.74117647 ... 0.65882353 0.67058824 0.68235294]
 ...
 [0.07058824 0.09803922 0.11372549 ... 0.00784314 0.00392157 0.00392157]
 [0.07843137 0.10196078 0.1254902  ... 0.00392157 0.         0.        ]
 [0.07843137 0.09411765 0.11372549 ... 0.02745098 0.01568627 0.00784314]]"
4,LIDC-IDRI-0078-5,"[[0.63921569 0.64705882 0.64705882 ... 0.56078431 0.56470588 0.56862745]
 [0.63921569 0.63921569 0.63921569 ... 0.56078431 0.56078431 0.57647059]
 [0.63921569 0.63529412 0.63529412 ... 0.55686275 0.55686275 0.57647059]
 ...
 [0.0627451  0.06666667 0.05490196 ... 0.04705882 0.03921569 0.02745098]
 [0.05098039 0.05098039 0.04313725 ... 0.04705882 0.04313725 0.03921569]
 [0.04313725 0.03529412 0.03529412 ... 0.04705882 0.05490196 0.04705882]]"
5,LIDC-IDRI-0078-6,"[[0.76470588 0.78431373 0.78431373 ... 0.30980392 0.28235294 0.18039216]
 [0.76470588 0.78431373 0.78039216 ... 0.28627451 0.24705882 0.14117647]
 [0.75294118 0.77254902 0.78823529 ... 0.2745098  0.24705882 0.15294118]
 ...
 [0.94901961 1.         0.89019608 ... 0.07058824 0.08627451 0.10980392]
 [0.9372549  1.         0.91764706 ... 0.10980392 0.11372549 0.12156863]
 [0.9254902  0.98823529 0.9254902  ... 0.1254902  0.12156863 0.11372549]]"
6,LIDC-IDRI-0078-7,"[[0.67843137 0.68235294 0.69411765 ... 0.66666667 0.6627451  0.66666667]
 [0.71764706 0.70196078 0.70196078 ... 0.6627451  0.66666667 0.6627451 ]
 [0.74901961 0.76078431 0.74117647 ... 0.66666667 0.65882353 0.6627451 ]
 ...
 [0.06666667 0.07058824 0.05490196 ... 0.09803922 0.09019608 0.08627451]
 [0.08627451 0.08627451 0.06666667 ... 0.03921569 0.04313725 0.05490196]
 [0.09803922 0.11372549 0.12156863 ... 0.00392157 0.00392157 0.01568627]]"
7,LIDC-IDRI-0078-8,"[[0.78039216 0.75294118 0.74901961 ... 0.04313725 0.06666667 0.09019608]
 [0.78039216 0.72941176 0.72941176 ... 0.07843137 0.10196078 0.11372549]
 [0.77647059 0.75294118 0.7372549  ... 0.11372549 0.11764706 0.10588235]
 ...
 [0.8        0.78823529 0.78431373 ... 0.81176471 0.81568627 0.81960784]
 [0.78823529 0.78431373 0.78823529 ... 0.78039216 0.78823529 0.79607843]
 [0.80784314 0.81568627 0.79607843 ... 0.78039216 0.77647059 0.79215686]]"
8,LIDC-IDRI-0078-9,"[[0.61176471 0.61960784 0.62745098 ... 0.54901961 0.54901961 0.55294118]
 [0.63529412 0.63137255 0.63529412 ... 0.54901961 0.54509804 0.55294118]
 [0.64705882 0.63921569 0.63921569 ... 0.54117647 0.56078431 0.55686275]
 ...
 [0.02745098 0.03921569 0.04705882 ... 0.03137255 0.03921569 0.04313725]
 [0.02745098 0.04705882 0.0745098  ... 0.03529412 0.03921569 0.03529412]
 [0.03529412 0.05490196 0.06666667 ... 0.03921569 0.03529412 0.03137255]]"
9,LIDC-IDRI-0078-10,"[[0.98039216 0.97254902 0.97647059 ... 0.06666667 0.04705882 0.04705882]
 [0.97254902 0.98431373 0.98431373 ... 0.03529412 0.03529412 0.05098039]
 [0.93333333 0.94901961 0.98039216 ... 0.00392157 0.         0.03921569]
 ...
 [0.89019608 0.85882353 0.82745098 ... 0.10588235 0.09411765 0.0745098 ]
 [0.92941176 0.87843137 0.8745098  ... 0.10196078 0.09019608 0.10196078]
 [0.91764706 0.87058824 0.89019608 ... 0.09803922 0.08627451 0.09019608]]"
